SID,CID,Semester,Year,Grade
1,101,Winter,2024,B+
1,102,Spring,2024,B-
1,103,Summer,2024,A-
1,104,Fall,2024,C+
1,105,Winter,2024,D
2,101,Spring,2024,A
2,102,Summer,2024,A+
2,103,Fall,2024,B
2,104,Winter,2024,B-
2,105,Spring,2024,C+
3,101,Summer,2024,B-
3,102,Fall,2024,D+
3,103,Winter,2024,B+
3,104,Spring,2024,B+
3,105,Summer,2024,A-
4,101,Fall,2024,A
4,102,Winter,2024,B-
4,103,Spring,2024,A+
4,104,Summer,2024,A-
4,105,Fall,2024,C+
5,101,Winter,2024,A
5,102,Spring,2024,B+
5,103,Summer,2024,A+
5,104,Fall,2024,C-
5,105,Winter,2024,C
6,101,Winter,2024,A
6,102,Summer,2024,B-
6,103,Fall,2024,C+
